Src,Dst,Delta_Start_Time,Pkt_Len
0,1,0.0,"[-242, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1335, 699, 0, 0, 0, 0, 0, 0, 0, 0]"
0,7,2.0,"[-242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 310, 903, 291, 644, 570, 288, 644, 571, 1213]"
1,7,2.0,"[-1335, 699, 0, 0, 0, 0, 0, 0, 0, 0, 291, 310, 903, 291, 644, 570, 288, 644, 571, 1213]"
7,1,2.0,"[-1335, 699, 0, 0, 0, 0, 0, 0, 0, 0, 291, 310, 903, 291, 644, 570, 288, 644, 571, 1213]"
2,4,0.0,"[-696, -1065, -1294, -472, -426, -671, -574, -1182, -566, -1427, -561, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,2,0.0,"[-696, -1065, -1294, -472, -426, -671, -574, -1182, -566, -1427, -561, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,5,0.0,"[-696, -1065, -1294, -472, -426, -671, -574, -1182, -566, -1427, -783, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,6,0.0,"[-696, -1065, -1294, -472, -426, -671, -574, -1182, -566, -1427, 1385, -476, 878, -980, 1406, -1279, 1265, -1404, 965, -1459]"
6,2,0.0,"[-696, -1065, -1294, -472, -426, -671, -574, -1182, -566, -1427, 1385, -476, 878, -980, 1406, -1279, 1265, -1404, 965, -1459]"
3,7,2.0,"[-26, -26, -26, -26, -26, -26, -26, -26, -26, -26, 291, 310, 903, 291, 644, 570, 288, 644, 571, 1213]"
